"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","word","color","response","stim_type","correct"
"734","Welcome to the experiment. Press any key to begin.","32","html-keyboard-response","0","747","0.0-0.0","","","","",""
"857.4000000953674","<p>In this task, you will see word in a color</p><p style='color:red;font-size:60pt;'>BLUE</p><p>Press r, g, b, or y to identify the color, not the word</p><p>E.g., press r for red in this example</p><p>Press any key to begin.</p>","66","html-keyboard-response","1","1607","0.0-1.0","","","","",""
"320.39999997615814","<p id = 'stroop_stim' style = 'color: yellow; font-size: 60pt;'>yellow</p>","66","html-keyboard-response","2","2943","0.0-2.0-0.0","yellow","yellow","y","congruent","false"
"63.700000047683716","<p id = 'stroop_stim' style = 'color: yellow; font-size: 60pt;'>green</p>","66","html-keyboard-response","3","4472","0.0-2.0-0.1","green","yellow","y","incongruent","false"
"357","<p id = 'stroop_stim' style = 'color: red; font-size: 60pt;'>blue</p>","66","html-keyboard-response","4","6038","0.0-2.0-0.2","blue","red","r","incongruent","false"
"367.09999990463257","<p id = 'stroop_stim' style = 'color: red; font-size: 60pt;'>red</p>","66","html-keyboard-response","5","6966","0.0-2.0-0.3","red","red","r","congruent","false"
"390.89999997615814","<p id = 'stroop_stim' style = 'color: green; font-size: 60pt;'>blue</p>","66","html-keyboard-response","6","9083","0.0-2.0-0.4","blue","green","g","incongruent","false"
"312","<p id = 'stroop_stim' style = 'color: red; font-size: 60pt;'>yellow</p>","66","html-keyboard-response","7","10025","0.0-2.0-0.5","yellow","red","r","incongruent","false"
"267.8000000715256","<p id = 'stroop_stim' style = 'color: yellow; font-size: 60pt;'>red</p>","66","html-keyboard-response","8","11178","0.0-2.0-0.6","red","yellow","y","incongruent","false"
"435.89999997615814","<p id = 'stroop_stim' style = 'color: red; font-size: 60pt;'>green</p>","66","html-keyboard-response","9","13494","0.0-2.0-0.7","green","red","r","incongruent","false"
"295.3000000715256","<p id = 'stroop_stim' style = 'color: blue; font-size: 60pt;'>yellow</p>","66","html-keyboard-response","10","15242","0.0-2.0-0.8","yellow","blue","b","incongruent","true"
"277.40000009536743","<p id = 'stroop_stim' style = 'color: blue; font-size: 60pt;'>blue</p>","66","html-keyboard-response","11","16565","0.0-2.0-0.9","blue","blue","b","congruent","true"
"300.60000002384186","<p id = 'stroop_stim' style = 'color: blue; font-size: 60pt;'>red</p>","66","html-keyboard-response","12","18338","0.0-2.0-0.10","red","blue","b","incongruent","true"
"245.5","<p id = 'stroop_stim' style = 'color: green; font-size: 60pt;'>red</p>","66","html-keyboard-response","13","20153","0.0-2.0-0.11","red","green","g","incongruent","false"
"335.60000002384186","<p id = 'stroop_stim' style = 'color: yellow; font-size: 60pt;'>blue</p>","66","html-keyboard-response","14","21914","0.0-2.0-0.12","blue","yellow","y","incongruent","false"
"275.8000000715256","<p id = 'stroop_stim' style = 'color: green; font-size: 60pt;'>yellow</p>","66","html-keyboard-response","15","24184","0.0-2.0-0.13","yellow","green","g","incongruent","false"
"27","<p id = 'stroop_stim' style = 'color: blue; font-size: 60pt;'>green</p>","66","html-keyboard-response","16","25976","0.0-2.0-0.14","green","blue","b","incongruent","true"
"531.7000000476837","<p id = 'stroop_stim' style = 'color: green; font-size: 60pt;'>green</p>","66","html-keyboard-response","17","27760","0.0-2.0-0.15","green","green","g","congruent","false"
"106.19999992847443","<p>Your average response time for congruent trials was <strong>277ms</strong>.</p><p>Your average response time for incongruent trials was <strong>208ms</strong>.</p><p>Press any key to complete the experiment. Thank you!</p>","66","html-keyboard-response","18","29375","0.0-3.0","","","","",""
